Title,Specs,Post Date,Options,Price,Installment
Hyundai Elantra HD 2021,"['Hyundai', 'Elantra HD', 'Silver', 'Automatic / GL / SR / TINTED GLASS', '- Km', 'Mohandessin']",2023-06-18,"620,000 EGP",No
Hyundai Verna 2010,"['Hyundai', 'Verna', 'Silver', '110,000 Km', 'Mohandessin']",2023-06-18,"265,000 EGP",No
Hyundai IX 35 2013,"['Hyundai', 'IX 35', 'Black', '150,000 Km', 'Cairo']",2023-06-18,"715,000 EGP",No
Hyundai Elantra MD 2015,"['Hyundai', 'Elantra MD', 'Light grey', '120,000 Km', 'Kafr el-Sheikh']",2023-06-18,"564,000 EGP",No
Hyundai Elantra HD 2018,"['Hyundai', 'Elantra HD', 'Gray', '85,000 Km', 'Nasr city']",2023-06-18,"485,000 EGP",Yes
Hyundai H1 2006,"['Hyundai', 'H1', 'White', '444,000 Km', 'Faiyum']",2023-06-18,"120,000 EGP",Yes
Hyundai Elantra 2009,"['Hyundai', 'Elantra', 'Eggplant', '390,000 Km', 'Nasr city']",2023-06-18,"280,000 EGP",No
Hyundai Tucson 2021,"['Hyundai', 'Tucson', 'Black', 'A/T / Smart Plus', '48,000 Km', '6 October']",2023-06-18,"1,400,000 EGP",Yes
Hyundai Elantra CN7 2021,"['Hyundai', 'Elantra CN7', 'Light grey', 'A/T / SMART', '50,000 Km', '6 October']",2023-06-18,"850,000 EGP",Yes
Hyundai Tucson 2017,"['Hyundai', 'Tucson', 'Silver', '60,000 Km', 'Beni Suef']",2023-06-18,"1,150,000 EGP",No
Hyundai Verna 2013,"['Hyundai', 'Verna', 'Black', '150,000 Km', 'El Haram']",2023-06-18,"295,000 EGP",Yes
Hyundai Accent RB 2022,"['Hyundai', 'Accent RB', 'Dark blue', 'A/T / TINTED GLASS', '27,000 Km', 'Heliopolis']",2023-06-18,"560,000 EGP",Yes
Hyundai Elantra AD 2019,"['Hyundai', 'Elantra AD', 'Red', '90,000 Km', 'Abu Kabir']",2023-06-18,"740,000 EGP",No
Hyundai Elantra AD 2017,"['Hyundai', 'Elantra AD', 'Light grey', '180,000 Km', '6 October']",2023-06-18,"675,000 EGP",No
Hyundai Verna 2015,"['Hyundai', 'Verna', 'Bronze', '250,031 Km', 'Cairo']",2023-06-18,"255,000 EGP",No
Hyundai Accent RB 2021,"['Hyundai', 'Accent RB', 'Silver', '64,061 Km', 'Cairo']",2023-06-18,"610,000 EGP",No
Hyundai Elantra HD 2023,"['Hyundai', 'Elantra HD', 'Silver', 'A/T / HIGHLINE TINTED GLASS 15', '20,000 Km', 'Mohandessin']",2023-06-18,"720,000 EGP",Yes
Hyundai Verna 2009,"['Hyundai', 'Verna', 'Silver', '118,000 Km', 'Obour City']",2023-06-18,"185,000 EGP",No
Hyundai Tucson 2019,"['Hyundai', 'Tucson', 'Silver', 'A/T / SR GLS Fully Loaded REDBACK', '85,000 Km', 'Kafr El Zayat']",2023-06-18,"1,300,000 EGP",Yes
Hyundai IX 35 2016,"['Hyundai', 'IX 35', 'Red', 'GLS A/GLS AT PLUS', '150,000 Km', 'Dokki']",2023-06-18,"820,000 EGP",No
Hyundai Tucson 2019,"['Hyundai', 'Tucson', 'Gray', '82,000 Km', 'Cairo']",2023-06-18,"1,350,000 EGP",Yes
Hyundai Getz 2011,"['Hyundai', 'Getz', 'Red', '47,000 Km', 'Beni Suef']",2023-06-18,"395,000 EGP",No
Hyundai Tucson 2021,"['Hyundai', 'Tucson', 'Gray', 'A/T / Modern', '35,000 Km', 'Nasr city']",2023-06-18,"1,550,000 EGP",Yes
Hyundai Elantra HD 2019,"['Hyundai', 'Elantra HD', 'Gray', 'Automatic / GL HD Tinted glass', '19,000 Km', 'Imbaba']",2023-06-18,"450,000 EGP",No
Hyundai Elantra MD 2012,"['Hyundai', 'Elantra MD', 'Cyan', '70,000 Km', 'Kafr el-Sheikh']",2023-06-18,"565,000 EGP",No
Hyundai Verna 2017,"['Hyundai', 'Verna', 'Bronze', '386,054 Km', 'Cairo']",2023-06-18,"285,000 EGP",No
Hyundai Verna 2019,"['Hyundai', 'Verna', 'Light grey', '184,442 Km', 'Cairo']",2023-06-18,"325,000 EGP",No
